sku,old_external_product_id,new_external_product_id,classification,ecl_id,old_mapping_status
mk1498,691300883,698933172,A_UPDATE_REPLACE_OLD_ID,c7771669-c418-4e64-833d-4a0bb056305d,active
mk1487,691300925,698933185,A_UPDATE_REPLACE_OLD_ID,9bb11d09-74da-4633-8d05-658d1a7591cd,active
mk990,694795402,698933196,A_UPDATE_REPLACE_OLD_ID,f684a747-5e1c-4ebc-be47-f8ad1ae9e1eb,active
mk1684,691300932,698933198,A_UPDATE_REPLACE_OLD_ID,687b5a2c-fa61-4067-8e03-0ca68e59c18b,active
mk1740,mk1740,698933202,A_UPDATE_REPLACE_OLD_ID,e38f6b62-d40f-4228-a8e6-ef8d24c0168d,active
mk963,694795450,698933212,A_UPDATE_REPLACE_OLD_ID,9c54b72a-55a8-44f4-beb8-28ecc30c41c8,active
mk2221,mk2221,698933219,A_UPDATE_REPLACE_OLD_ID,3d42eaf6-56b7-4d4e-8d35-07a799463527,active
mk2214,mk2214,698933227,A_UPDATE_REPLACE_OLD_ID,1c96f5a9-d3c8-4061-b425-54d25570fc7f,active
mk1591,691300930,698933229,A_UPDATE_REPLACE_OLD_ID,c6dcbfd2-3bdf-454e-acbe-26100f086113,active
mk1423,691300905,698933231,A_UPDATE_REPLACE_OLD_ID,74684f3b-7ea5-40c7-a882-b1fe85c5df93,active
mk1067,mk1067,698933244,A_UPDATE_REPLACE_OLD_ID,736aff77-5fbc-4912-8e8f-408d49cae2ff,active
mk1300,691712274,698933249,A_UPDATE_REPLACE_OLD_ID,742a2e36-bbe2-4382-a516-1dd5a8775587,active
mk992,694795397,698933255,A_UPDATE_REPLACE_OLD_ID,5fa417f1-cfab-43d4-bb74-dfb4a82b5339,active
mk1372,691300894,698933259,A_UPDATE_REPLACE_OLD_ID,3053e6ca-3da0-48a7-b238-cdfeea8fc9f0,active
mk1814,691300831,698933264,A_UPDATE_REPLACE_OLD_ID,0f6135ff-cc21-49a1-8858-921f699c9e48,active
mk2218,mk2218,698933267,A_UPDATE_REPLACE_OLD_ID,dc2be2f0-4d0b-446b-89e7-9c84d9976182,active
mk1683,691300931,698933269,A_UPDATE_REPLACE_OLD_ID,b55d6ccc-8138-4b70-8588-b11b4a96fe91,active
mk2223,mk2223,698933278,A_UPDATE_REPLACE_OLD_ID,f5b37713-fe25-4c20-ae28-6451a52805ed,active
mk1805,691300827,698933284,A_UPDATE_REPLACE_OLD_ID,4f86b3d4-4716-4c31-a9ce-7f0cd59b4e02,active
mk1728,691300852,698933298,A_UPDATE_REPLACE_OLD_ID,6df7e7b7-bd48-4df1-a82a-34beb8fabc4e,active
mk1917,691300815,698933321,A_UPDATE_REPLACE_OLD_ID,ef466359-c8e3-40b4-abc3-48d00e120243,active
mk1295,691712281,698933323,A_UPDATE_REPLACE_OLD_ID,f6d5b099-bffb-4894-aed0-b89be2c7ff31,active
mk1451,691300912,698933324,A_UPDATE_REPLACE_OLD_ID,b82dad71-cf99-4cf7-b55f-dcb9abe24dae,active
mk1547,691300962,698933326,A_UPDATE_REPLACE_OLD_ID,c228b493-6b29-4cdf-9150-c9f43ddadde1,active
mk1568,mk1568,698933332,A_UPDATE_REPLACE_OLD_ID,a848991d-40b9-4fe7-928b-58edc543ef24,active
mk1628,691300950,698933334,A_UPDATE_REPLACE_OLD_ID,4c6199ad-7b51-411f-b4e7-d4acfa0f2c05,active
mk1716,691300975,698933351,A_UPDATE_REPLACE_OLD_ID,8474468b-6ad2-4a3f-918e-265f3ca00441,active
mk2268,,698933363,C_INSERT_NO_EXISTING_ROW,,
mk1780,691300971,698933378,A_UPDATE_REPLACE_OLD_ID,0a5c144b-aebe-4841-8aae-a5c87814ad22,active
mk2294,,698933388,C_INSERT_NO_EXISTING_ROW,,
mk1241,692737152,698933405,A_UPDATE_REPLACE_OLD_ID,0c463636-4cfa-42b5-9453-e41a192515bf,active
mk1615,691300998,698933410,A_UPDATE_REPLACE_OLD_ID,cdee63e9-5bcb-4d96-a9c3-cc6baf49d23b,active
mk1421,691301003,698933411,A_UPDATE_REPLACE_OLD_ID,586d9017-91ca-4482-91e8-384271fc3aee,active
mk2224,mk2224,698933418,A_UPDATE_REPLACE_OLD_ID,c267f595-f4fe-41fc-a9c2-5d0d06d8998c,active
mk1014,694243450,698933427,A_UPDATE_REPLACE_OLD_ID,8dddff94-e881-4f05-8234-5325d4e5e32d,active
mk976,694795442,698933441,A_UPDATE_REPLACE_OLD_ID,e705c576-859a-46c4-b5c2-6f23796dec22,active
mk1647,691301032,698933454,A_UPDATE_REPLACE_OLD_ID,38d9d046-3bc2-4e18-80d9-5892891c8ec0,active
mk1646,691301031,698933459,A_UPDATE_REPLACE_OLD_ID,92c1aa8c-8b2d-4cb3-bbad-8de491bd029f,active
mk2217,mk2217,698933460,A_UPDATE_REPLACE_OLD_ID,38c905c2-8193-4b97-8b81-1cca8368bd8c,active
mk1608,691301016,698933462,A_UPDATE_REPLACE_OLD_ID,27733f94-3418-4aa7-b41f-dafa4dec057c,active
mk975,694795444,698933464,A_UPDATE_REPLACE_OLD_ID,58c60202-511b-44ff-88a4-3cf5f6a111bc,active
mk2051,mk2051,698933486,A_UPDATE_REPLACE_OLD_ID,6cbcf2a1-ede3-4cee-ba54-f0c34de73e7d,active
mk1989,mk1989,698933490,A_UPDATE_REPLACE_OLD_ID,f1450ef1-f466-43ed-b283-776db6835cfc,active
mk1222,mk1222,698933492,A_UPDATE_REPLACE_OLD_ID,7c032955-91ed-4cdb-a60d-090f7f0d058a,active
mk1979,mk1979,698933496,A_UPDATE_REPLACE_OLD_ID,23190ff3-a860-4e86-bc76-058767fae31e,active
mk1743,691300516,698933501,A_UPDATE_REPLACE_OLD_ID,e281c773-8919-4fd8-b8d1-99036b154e08,active
mk1571,mk1571,698933506,A_UPDATE_REPLACE_OLD_ID,c4447912-ef01-4556-a426-18c76dc4ea55,active
mk1818,691300830,698933508,A_UPDATE_REPLACE_OLD_ID,183b7c71-8e62-4781-925d-09152ae53853,active
mk1971,mk1971,698933510,A_UPDATE_REPLACE_OLD_ID,8cfc5312-d99e-463c-a1c4-4b3e92fbfd06,active
mk1555,mk1555,698933512,A_UPDATE_REPLACE_OLD_ID,efdc1979-aeb1-4f14-a5c7-d442f01b80ce,active
mk1744,mk1744,698933516,A_UPDATE_REPLACE_OLD_ID,104b18ab-281b-4f95-926b-d089a26e9fa9,active
mk1204,mk1204,698933519,A_UPDATE_REPLACE_OLD_ID,45dca64e-1b48-4f90-935a-7734f544a22a,active
